"fname","group","tot_dist","var_dist","frames_tracked"
"04_1D_07","before the drop",8.539,0.252359895402299,30
"04_1D_09","after the drop",2.529,0.0769607689655172,30
"04_1D_09","before the drop",6.602,0.46644296091954,30
"04_1D_11","after the drop",2.229,0.14693194137931,30
"04_1D_11","before the drop",0.182,0.00110413333333333,30
"04_1D_13","after the drop",12.573,2.47615712758621,30
"04_1D_13","before the drop",1.5,0.0628028275862069,30
"04_1D_15","after the drop",7.867,0.244356667816092,30
"04_1D_15","before the drop",7.683,0.318973748275862,30
"04_1D_17","after the drop",3.281,0.303895826436782,30
"04_1D_17","before the drop",0,0,30
"04_2A_05","after the drop",8.154,0.0393844413793103,30
"04_2A_05","before the drop",5.832,0.0578174896551724,30
"04_2A_07","after the drop",0,0,30
"04_2A_07","before the drop",0.516,0.00198926896551724,30
"04_2A_09","after the drop",24.07,0.842753540229885,30
"04_2A_09","before the drop",22.125,0.715656189655173,30
"04_2A_11","after the drop",3.018,0.0595300413793103,30
"04_2A_11","before the drop",2.945,0.165018074712644,30
"04_2A_13","after the drop",10.337,2.58984521954023,30
"04_2A_13","before the drop",0.939,0.0293907,30
"04_2A_15","after the drop",0.623,0.00529549540229885,30
"04_2A_15","before the drop",1.92,0.025026275862069,30
"04_2A_17","after the drop",10.099,0.461826998850575,30
"04_2A_17","before the drop",5.908,0.182482891954023,30
"04_2C_05","after the drop",17.222,0.134613581609195,30
"04_2C_05","before the drop",29.103,2.52962374827586,30
"04_2C_07","after the drop",6.039,0.137642837931034,30
"04_2C_07","before the drop",26.786,0.469798740229885,30
"04_2C_09","after the drop",26.23,0.922638298850575,30
"04_2C_09","before the drop",25.363,0.53451121954023,30
"04_2C_11","after the drop",29.105,2.73115172988506,30
"04_2C_11","before the drop",57.497,2.27227452988506,30
"04_2C_13","after the drop",56.458,3.79408151264368,30
"04_2C_13","before the drop",106.758,6.77121666206896,30
"04_2C_15","after the drop",29.007,0.948185610344828,30
"04_2C_15","before the drop",35.402,1.33899275402299,30
